# Measured scattering data of gold cubes
# q I err
4.617402600000000135e-01 1.873733081800768030e+00 1.500177981267047378e-01
4.632742700000000990e-01 1.992007901149424498e+00 1.496282001795123107e-01
4.648082899999999018e-01 1.831066057088123644e+00 1.491824325184762379e-01
4.663422999999999874e-01 1.667326629885058198e+00 1.471774501995644080e-01
4.678763200000001232e-01 1.629023715900382641e+00 1.464076487953980543e-01
4.694103399999998150e-01 1.479733611877393606e+00 1.456080801030018856e-01
4.709443799999999958e-01 1.385999437739462437e+00 1.450938538021066815e-01
4.724784000000000761e-01 1.369752002490420395e+00 1.443093052217742367e-01
4.740124200000001009e-01 1.625595923371648155e+00 1.455292914547827166e-01
4.755464299999999089e-01 1.465694010536400249e+00 1.441494711999916634e-01
4.770804499999999893e-01 1.186553607854405001e+00 1.409261707616601966e-01
4.786144600000000748e-01 1.651342091187739669e+00 1.430829211494047404e-01
4.801484800000002107e-01 1.498652406896550993e+00 1.427992717478959450e-01
4.816825299999998866e-01 1.418350986398466240e+00 1.422680927094717440e-01
4.832165400000000277e-01 1.624432269540230900e+00 1.424853531603843815e-01
4.847505600000001080e-01 1.517267431034484249e+00 1.415896363605469999e-01
4.862845800000000773e-01 1.540376796168581031e+00 1.429216303207118399e-01
4.878185899999999964e-01 1.615392790038313819e+00 1.415457527049856223e-01
4.893526100000000212e-01 1.601420724137930796e+00 1.411102314550457815e-01
4.908866599999999747e-01 1.736272379693486689e+00 1.412184281481772552e-01
4.924206699999997827e-01 1.706046310344829564e+00 1.421509687128985899e-01
4.939546899999999185e-01 1.739547341954024162e+00 1.423504754655132432e-01
4.954886999999999486e-01 1.456959008812261702e+00 1.405226392064400365e-01
4.970227200000001955e-01 1.704540951149423833e+00 1.410798727155162802e-01
4.985567399999999982e-01 1.526165107471265436e+00 1.394933432624380909e-01
5.000907500000000283e-01 1.773710968773946739e+00 1.401586316608230687e-01
5.016247999999999818e-01 1.821061973563217640e+00 1.406076391710695261e-01
5.031588200000000066e-01 1.841329931226052041e+00 1.427133698129132711e-01
5.046928299999998702e-01 1.730171878927203366e+00 1.413929734238503211e-01
5.062268500000001170e-01 1.849062865517238308e+00 1.408200512552561234e-01
5.077608599999999806e-01 1.650047227969348995e+00 1.407829887569855276e-01
5.092948800000000054e-01 1.851924671072797679e+00 1.409913934362273247e-01
5.108289000000000302e-01 1.807273897701150878e+00 1.406863182455750927e-01
5.123629399999999334e-01 1.814411604214559270e+00 1.404803292065152365e-01
5.138969600000000693e-01 1.775747458812260815e+00 1.390888108314230209e-01
5.154309799999998720e-01 1.731521870881223890e+00 1.389256507793230622e-01
5.169649899999999576e-01 1.809015528927203187e+00 1.394814550019112809e-01
5.184990099999999824e-01 1.979240434291188899e+00 1.397516519512249367e-01
5.200330199999998460e-01 1.869814787931034283e+00 1.401286999037604231e-01
5.215670400000000928e-01 1.651644364367815143e+00 1.378786408580968681e-01
5.231010900000001573e-01 1.926647092911878412e+00 1.380372160245300628e-01
5.246351000000000209e-01 2.025438731800766945e+00 1.391631207571636941e-01
5.261691200000002677e-01 2.160641053065134543e+00 1.413287399908319530e-01
5.277031399999999595e-01 2.142137853256703472e+00 1.416147384714025181e-01
5.292371500000000450e-01 2.084221886206893970e+00 1.411149922807186374e-01
5.307711699999997368e-01 1.949566186973182402e+00 1.402228899582439459e-01
5.323052199999998013e-01 1.935923825478925941e+00 1.409427676425001608e-01
5.338392299999999979e-01 1.822559071264368891e+00 1.411388823673556114e-01
5.353732499999999117e-01 1.895447424712644047e+00 1.410974662874521224e-01
5.369072599999997752e-01 1.940291429118774502e+00 1.405904201449125757e-01
5.384412800000000221e-01 1.612059166666666599e+00 1.393207667926534832e-01
5.399753000000000469e-01 1.702993439846742341e+00 1.418771919018968208e-01
5.415093100000001325e-01 1.768168542720304437e+00 1.404646653513777488e-01
5.430433299999999353e-01 1.630899078927203760e+00 1.400250766164193028e-01
5.445773400000000208e-01 1.568150942337166898e+00 1.395065673430881392e-01
5.461113600000000456e-01 1.577260461302682160e+00 1.395672693557800104e-01
5.476454400000000389e-01 1.386735893486592985e+00 1.397305293609661381e-01
5.491794599999997306e-01 1.689387100191570568e+00 1.401790348476662229e-01
5.507134699999999272e-01 1.608660507088124136e+00 1.393595603866076560e-01
5.522474899999998410e-01 1.472361856896553300e+00 1.376851970015730564e-01
5.537814999999997045e-01 1.527873735057471372e+00 1.372035502866952583e-01
5.553155199999999514e-01 1.570442502873564017e+00 1.370251015775462156e-01
5.568495399999999762e-01 1.444577400766281272e+00 1.350278961943827127e-01
5.583835500000000618e-01 1.431002396360153028e+00 1.348097315866328139e-01
5.599175699999998645e-01 1.643237457279694169e+00 1.356317443493502972e-01
5.614515799999999501e-01 1.264702172413793235e+00 1.323074144708044630e-01
5.629855999999999749e-01 1.049906390038312765e+00 1.314071220385396865e-01
5.645196200000002218e-01 1.121231729501915630e+00 1.314908474764290569e-01
5.660536300000000853e-01 1.051447326436780294e+00 1.302192999127237405e-01
5.675876499999999991e-01 9.161502021072803759e-01 1.297783772810778558e-01
5.691217299999998813e-01 1.189313241954023104e+00 1.311334262787760552e-01
5.706557399999999669e-01 1.119199195019157100e+00 1.306378751546761197e-01
5.721897600000001027e-01 9.174528513409959674e-01 1.279970509896923014e-01
5.737237800000000165e-01 8.817444132183904770e-01 1.281288573309991297e-01
5.752577900000001021e-01 8.611533475095800583e-01 1.285844179912785934e-01
5.767918099999997938e-01 1.018186192911878507e+00 1.270216064334101502e-01
5.783258199999999905e-01 6.666442651340975800e-01 1.273970263287918236e-01
5.798598399999997932e-01 7.591416578544052385e-01 1.267534410311905446e-01
5.813938600000001511e-01 7.319532017241376920e-01 1.259225555138457908e-01
5.829278700000001256e-01 6.745574252873547394e-01 1.249722605481603938e-01
5.844618900000000394e-01 6.395256814176244475e-01 1.242062470511245270e-01
5.859959000000001250e-01 5.774326396551732188e-01 1.240979515469318728e-01
5.875299199999999278e-01 7.825591214559377562e-01 1.246828842746595528e-01
